# StartTime = 03/12/2026 03:18:46.9578 am
Time (sec), Trip Distance (miles), Trip Duration (min), Vehicle speed (MPH), Trip Fuel (gal), Trip Fuel Economy (MPG), Average Trip CO2 Rate (lb/mile), Total Trip CO2 (lbs), Total Fuel Economy (MPG), Engine Power (hp), Fuel Rate (gal/hr), Total CO2 (lbs), Instant Fuel Economy (MPG), Instant CO2 rate (lb/mile), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg)
2383.792,7.918457,39.730644,4.9709697,0.21679497,36.525097,0.614561,4.865536,36.22584,5.5114193,0.35035157,4.9057293,12.414953,1.8080535,13.333333,170.6,30.120703
2384.068,7.9188237,39.735752,4.9709697,0.21681483,36.52344,0.61458886,4.865982,36.224228,4.0139337,0.25515893,4.906175,19.481855,1.1521952,14.117647,170.6,29.825401
2384.317,7.9192266,39.74053,4.9709697,0.21682355,36.52383,0.6145823,4.866178,36.224625,1.8196499,0.11567205,4.906371,42.97468,0.5223285,21.17647,170.6,29.825401
2384.567,7.919595,39.74394,4.9709697,0.21683176,36.524147,0.614577,4.866362,36.22495,1.8683037,0.118764885,4.906555,41.85555,0.53629446,38.039215,170.6,29.825401
2384.794,7.919925,39.747894,4.9709697,0.21684405,36.523598,0.61458623,4.8666377,36.224426,2.9904878,0.19010024,4.906831,26.149202,0.8584162,23.137255,170.6,29.825401
2385.028,7.9202127,39.751488,5.592341,0.21686465,36.521458,0.61462224,4.8671002,36.22233,5.4458323,0.34618232,4.9072933,14.359398,1.5632201,22.745098,170.6,29.825401
2385.270,7.9205775,39.75578,5.592341,0.21687874,36.520763,0.6146339,4.8674164,36.22166,3.3602562,0.21360578,4.9076095,26.180662,0.85738474,21.960785,170.6,29.825401
2385.516,7.920969,39.759842,5.592341,0.21689464,36.519894,0.6146486,4.867773,36.220818,3.3503346,0.21297508,4.907966,26.258192,0.8548532,20,170.6,29.825401
2385.761,7.9213576,39.763836,6.2137117,0.21690942,36.519196,0.6146603,4.868105,36.220146,3.2855585,0.20885737,4.908298,26.775885,0.83832526,15.686275,170.6,29.5301
2386.011,7.921807,39.767933,6.2137117,0.21692158,36.519222,0.6146599,4.8683777,36.22019,3.0189645,0.19191045,4.908571,32.378185,0.69327235,5.882353,170.6,29.825401
